SeqID,Virus,Host,CollDate,Country,Host,SeqLength
KY073748.1,HCOV-229E,bat,2010-06-01,Kenya,bat,27636
KY073747.1,HCOV-229E,bat,2009-06-20,Kenya,bat,27837
KT253272.1,HCOV-229E,bat,2010,Ghana,bat,28688
KT253271.1,HCOV-229E,bat,2011,Ghana,bat,28754
KT253270.1,HCOV-229E,bat,2010,Ghana,bat,28020
KT253269.1,HCOV-229E,bat,2011,Ghana,bat,28026
KT253268.1,HCOV-229E,bat,2011,Ghana,bat,5635
KT253267.1,HCOV-229E,bat,2011,Ghana,bat,5005
KT253266.1,HCOV-229E,bat,2010,Ghana,bat,5005
KT253265.1,HCOV-229E,bat,2011,Ghana,bat,5005
KT253264.1,HCOV-229E,bat,2010,Ghana,bat,5632
KT253263.1,HCOV-229E,bat,2011,Ghana,bat,5005
KT253262.1,HCOV-229E,bat,2011,Ghana,bat,5005
KT253261.1,HCOV-229E,bat,2010,Ghana,bat,5005
KT253260.1,HCOV-229E,bat,2010,Ghana,bat,5665
KT253259.1,HCOV-229E,bat,2010,Ghana,bat,5665
KT253324.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27395
KU291449.1,HCOV-229E,camel,2015,Kenya,camel,27164
JQ410000.1,HCOV-229E,camel,2007,USA,bat,27374
KT368907.1,HCOV-229E,camel,2015,Saudi_Arabia,camel,27395
KT253328.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27270
KT253326.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27193
KT253325.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27193
KT368897.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27395
KT368896.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27389
KT368895.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27396
MF593473.1,HCOV-229E,camel,2015,United_Arab_Emirates,camel,27389
KT253327.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27241
KT368906.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27395
KT368894.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27397
KT368916.1,HCOV-229E,camel,2015,Saudi_Arabia,camel,27390
KT368910.1,HCOV-229E,camel,2015,Saudi_Arabia,camel,27387
KT368909.1,HCOV-229E,camel,2015,Saudi_Arabia,camel,27386
KT368908.1,HCOV-229E,camel,2015,Saudi_Arabia,camel,27395
KT368905.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27397
KT368904.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27395
KT368903.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27384
KT368902.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27396
KT368899.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27390
KT368901.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27396
KT368893.1,HCOV-229E,camel,2014,Saudi_Arabia,camel,27386
KT368914.1,HCOV-229E,camel,2015,Saudi_Arabia,camel,27392
